,ticker,Expiration,Count,SolveTime,RiskFreeRate,YieldRate
0,A,01/19/2024,35,0.16676592826843262,0.02022078300872528,-0.00022528878441082558
1,A,01/20/2023,40,0.599407434463501,0.004701275696735967,-0.012945813410691473
2,A,02/17/2023,29,0.15398073196411133,0.02040405787846011,-0.00041230395759763805
3,A,09/16/2022,24,0.4153859615325928,0.08638908470119849,0.03519743179634702
4,A,10/21/2022,27,0.314314603805542,0.001297727640104756,-0.015804869000489396
5,A,11/18/2022,29,0.33705711364746094,0.0028334061598063423,-0.013295828063090334
6,AA,01/19/2024,29,0.4894852638244629,0.026051677316693448,0.0015801700786927128
7,AA,01/20/2023,37,0.6218955516815186,0.012433218360954497,-0.0009740676514651998
8,AA,03/17/2023,13,0.21244096755981445,0.016950009835953607,-0.0046278686178283825
9,AA,04/21/2023,11,0.22436094284057617,0.026874361474252654,0.0001724382634086629
10,AA,06/16/2023,13,0.21546125411987305,0.02401954702448075,0.00018664657485434344
11,AA,08/26/2022,53,0.5177931785583496,0.9999999999999999,0.5434911116897263
12,AA,09/02/2022,53,0.37996912002563477,-0.0034090785869485968,-0.05745307315197584
13,AA,09/09/2022,44,0.4325730800628662,0.02480802021476036,-0.02620382645620157
14,AA,09/16/2022,44,0.5692555904388428,-0.02800829087050615,-0.04804162655310122
15,AA,09/23/2022,33,0.5348694324493408,-0.001286152941689415,-0.03684849364451825
16,AA,09/30/2022,27,0.2814040184020996,-0.045768747995281966,-0.059366003829850675
17,AA,10/21/2022,24,0.38466310501098633,-0.028405415951232006,-0.03799024400887509
18,AA,11/18/2022,10,0.09493732452392578,0.020164517948283354,-0.002423384676347188
19,AADI,01/20/2023,10,0.10001158714294434,0.24962414808149358,0.15814292525900514
20,AADI,04/21/2023,10,0.12807464599609375,0.1602447706344141,0.07624538164773982
21,AADI,09/16/2022,10,0.07718682289123535,-0.3902917072778886,0.7634308336563356
22,AADI,10/21/2022,11,0.10786080360412598,-0.7847965399343138,0.025452713158317403
23,AAIC,01/20/2023,3,0.036333560943603516,-0.9999999999999998,-0.621076485851419
24,AAIC,04/21/2023,3,0.05892181396484375,0.6931886354875092,0.542308635903856
25,AAIC,09/16/2022,3,0.01226353645324707,0.02704218188527995,-0.009605969727702942
26,AAIC,10/21/2022,3,0.020606279373168945,-0.009039212107400055,0.0407657031805891
27,AAL,01/19/2024,13,0.18289875984191895,0.025503149925316937,-0.0005223389766680876
28,AAL,01/20/2023,28,0.2467639446258545,0.01919677730334398,-0.0018768711011317887
29,AAL,02/17/2023,22,0.38445520401000977,0.016351433349541165,-0.005048645482298118
30,AAL,06/16/2023,13,0.3448927402496338,0.024274536785711412,0.005018632896328091
31,AAL,06/21/2024,13,0.18210625648498535,0.02407225569515974,-0.0010560389225995294
32,AAL,08/26/2022,35,0.232208251953125,0.2091611384386724,-0.24101364879807616
33,AAL,09/02/2022,34,0.1867671012878418,0.11086413690127381,0.05769117129333163
34,AAL,09/09/2022,34,0.2031090259552002,0.06931701355346856,0.018847878252157876
35,AAL,09/16/2022,41,0.28627538681030273,0.021555541012557577,-0.0024113269659807373
36,AAL,09/23/2022,30,0.20321011543273926,0.012164193093296732,-0.015856773508732318
37,AAL,09/30/2022,21,0.14613819122314453,0.03130582460281724,0.0019547999219508647
38,AAL,10/21/2022,23,0.2683601379394531,0.006511882972527723,-0.012684768468473375
39,AAL,11/18/2022,28,0.3504824638366699,0.0009293248970973188,-0.012695610819883199
40,AAL,12/16/2022,20,0.2583756446838379,0.0086804885084158,-0.010820802043981205
41,AAN,03/17/2023,11,0.0882267951965332,-0.019532893111362137,0.014118080283658236
42,AAN,09/16/2022,11,0.11070990562438965,-1.0,-0.1403962119807597
43,AAN,10/21/2022,11,0.08072757720947266,-0.0014165348551389845,0.08910827253506715
44,AAN,12/16/2022,11,0.12272453308105469,0.07959508622623035,0.08615343487144386
45,AAOI,01/20/2023,2,0.019767284393310547,0.01461057965876111,0.023983588344008013
46,AAOI,03/17/2023,2,0.034813642501831055,0.3090873076022988,0.29095469362435394
47,AAOI,08/26/2022,11,0.020777225494384766,0.02,0.0
48,AAOI,09/02/2022,11,0.18202424049377441,0.9999999999999991,-1.0
49,AAOI,09/09/2022,9,0.06240057945251465,-0.3644799655647924,1.0
50,AAOI,09/16/2022,9,0.051634788513183594,-0.049933327849390585,0.18497086451982647
51,AAOI,09/23/2022,2,0.027403593063354492,-1.0,0.9999999999999994
52,AAOI,09/30/2022,1,0.00957036018371582,0.03373221605105361,-0.018620861636136125
53,AAOI,10/21/2022,2,0.011982440948486328,-0.010386285677291347,0.055222451898042965
54,AAOI,12/16/2022,2,0.018948078155517578,0.024978377094512387,0.06425363243613745
55,AAON,01/20/2023,12,0.11363840103149414,0.07779116759243739,0.03325229212325903
56,AAON,04/21/2023,14,0.12244987487792969,0.0600303983579684,0.018905994482160564
57,AAON,09/16/2022,11,0.10497069358825684,0.25803013660887975,0.3500136729567727
58,AAON,10/21/2022,13,0.14577913284301758,0.1454193106000915,0.11740182521224722
59,AAP,01/19/2024,40,0.7331998348236084,0.026238362083800745,0.025589391962271318
60,AAP,01/20/2023,42,0.6383352279663086,0.01676166685721064,0.02456170333966124
61,AAP,03/17/2023,33,0.4451882839202881,0.02319479322749186,0.021963513465034765
62,AAP,06/16/2023,35,0.5805490016937256,0.014607391630728259,0.01954242010215594
63,AAP,09/16/2022,38,0.33887267112731934,-0.1325065658325776,-0.09979627730502667
