,ticker,Expiration,RiskFreeRate,YieldRate
0,A,01/19/2024,0.02022078300872528,-0.00022528878441082558
1,A,01/20/2023,0.004701275696735967,-0.012945813410691473
2,A,02/17/2023,0.02040405787846011,-0.00041230395759763805
3,A,09/16/2022,0.08638908470119849,0.03519743179634702
4,A,10/21/2022,0.001297727640104756,-0.015804869000489396
5,A,11/18/2022,0.0028334061598063423,-0.013295828063090334
6,AA,01/19/2024,0.026051677316693448,0.0015801700786927128
7,AA,01/20/2023,0.012433218360954497,-0.0009740676514651998
8,AA,03/17/2023,0.016950009835953607,-0.0046278686178283825
9,AA,04/21/2023,0.026874361474252654,0.0001724382634086629
10,AA,06/16/2023,0.02401954702448075,0.00018664657485434344
11,AA,08/26/2022,0.9999999999999999,0.5434911116897263
12,AA,09/02/2022,-0.0034090785869485968,-0.05745307315197584
13,AA,09/09/2022,0.02480802021476036,-0.02620382645620157
14,AA,09/16/2022,-0.02800829087050615,-0.04804162655310122
15,AA,09/23/2022,-0.001286152941689415,-0.03684849364451825
16,AA,09/30/2022,-0.045768747995281966,-0.059366003829850675
17,AA,10/21/2022,-0.028405415951232006,-0.03799024400887509
18,AA,11/18/2022,0.020164517948283354,-0.002423384676347188
19,AADI,01/20/2023,0.24962414808149358,0.15814292525900514
20,AADI,04/21/2023,0.1602447706344141,0.07624538164773982
21,AADI,09/16/2022,-0.3902917072778886,0.7634308336563356
22,AADI,10/21/2022,-0.7847965399343138,0.025452713158317403
23,AAIC,01/20/2023,-0.9999999999999998,-0.621076485851419
24,AAIC,04/21/2023,0.6931886354875092,0.542308635903856
25,AAIC,09/16/2022,0.02704218188527995,-0.009605969727702942
26,AAIC,10/21/2022,-0.009039212107400055,0.0407657031805891
27,AAL,01/19/2024,0.025503149925316937,-0.0005223389766680876
28,AAL,01/20/2023,0.01919677730334398,-0.0018768711011317887
29,AAL,02/17/2023,0.016351433349541165,-0.005048645482298118
30,AAL,06/16/2023,0.024274536785711412,0.005018632896328091
31,AAL,06/21/2024,0.02407225569515974,-0.0010560389225995294
32,AAL,08/26/2022,0.2091611384386724,-0.24101364879807616
33,AAL,09/02/2022,0.11086413690127381,0.05769117129333163
34,AAL,09/09/2022,0.06931701355346856,0.018847878252157876
35,AAL,09/16/2022,0.021555541012557577,-0.0024113269659807373
36,AAL,09/23/2022,0.012164193093296732,-0.015856773508732318
37,AAL,09/30/2022,0.03130582460281724,0.0019547999219508647
38,AAL,10/21/2022,0.006511882972527723,-0.012684768468473375
39,AAL,11/18/2022,0.0009293248970973188,-0.012695610819883199
40,AAL,12/16/2022,0.0086804885084158,-0.010820802043981205
41,AAN,03/17/2023,-0.019532893111362137,0.014118080283658236
42,AAN,09/16/2022,-1.0,-0.1403962119807597
43,AAN,10/21/2022,-0.0014165348551389845,0.08910827253506715
44,AAN,12/16/2022,0.07959508622623035,0.08615343487144386
45,AAOI,01/20/2023,0.01461057965876111,0.023983588344008013
46,AAOI,03/17/2023,0.3090873076022988,0.29095469362435394
47,AAOI,08/26/2022,0.02,0.0
48,AAOI,09/02/2022,0.9999999999999991,-1.0
49,AAOI,09/09/2022,-0.3644799655647924,1.0
50,AAOI,09/16/2022,-0.049933327849390585,0.18497086451982647
51,AAOI,09/23/2022,-1.0,0.9999999999999994
52,AAOI,09/30/2022,0.03373221605105361,-0.018620861636136125
53,AAOI,10/21/2022,-0.010386285677291347,0.055222451898042965
54,AAOI,12/16/2022,0.024978377094512387,0.06425363243613745
55,AAON,01/20/2023,0.07779116759243739,0.03325229212325903
56,AAON,04/21/2023,0.0600303983579684,0.018905994482160564
57,AAON,09/16/2022,0.25803013660887975,0.3500136729567727
58,AAON,10/21/2022,0.1454193106000915,0.11740182521224722
59,AAP,01/19/2024,0.026238362083800745,0.025589391962271318
60,AAP,01/20/2023,0.01676166685721064,0.02456170333966124
61,AAP,03/17/2023,0.02319479322749186,0.021963513465034765
62,AAP,06/16/2023,0.014607391630728259,0.01954242010215594
63,AAP,09/16/2022,-0.1325065658325776,-0.09979627730502667
64,AAP,10/21/2022,-0.09952656521305717,-0.07459151097977992
65,AAP,12/16/2022,-0.04144637773258339,-0.029841341424556987
66,AAPB,01/20/2023,0.05862766901741156,0.045361743712483665
67,AAPB,04/21/2023,0.4045443044179783,0.23512729577689173
68,AAPB,09/16/2022,0.947385259566151,0.7797173388947302
69,AAPB,10/21/2022,0.18239682760142945,0.13121964776370418
70,AAPD,01/20/2023,0.05312056435068291,0.014419760255514665
71,AAPD,04/21/2023,0.11552474270083074,0.05835613919792868
72,AAPD,09/16/2022,1.0,0.4080571270497147
73,AAPD,10/21/2022,0.5719600435122587,0.31914830979484665
74,AAPL,01/19/2024,0.019638202080059463,0.0003547038427364066
75,AAPL,01/20/2023,0.008029820989316603,-0.0043521167950064015
76,AAPL,02/17/2023,0.002032096348618014,-0.006678420977802545
77,AAPL,03/17/2023,0.011408368332498846,-0.0027318753652233814
78,AAPL,04/21/2023,0.01975465213841162,0.00024053711920429423
79,AAPL,06/16/2023,0.02334061206623374,0.004723517260127628
80,AAPL,06/21/2024,0.019634337876831467,-0.00035849227761620793
81,AAPL,07/21/2023,0.021833688927335993,0.0022624957006558643
82,AAPL,08/26/2022,0.23486608904624473,-0.20170530860421984
83,AAPL,09/02/2022,0.17979712343808646,0.10870634774534746
84,AAPL,09/09/2022,0.10857433274797733,0.046123364767500896
85,AAPL,09/15/2023,0.019580969645852625,0.0004108140686345515
86,AAPL,09/16/2022,0.027641513363904312,-0.005493933441579463
87,AAPL,09/23/2022,0.05510235571835885,0.016600998663390168
88,AAPL,09/30/2022,-0.06958713750326204,-0.08480963940042953
89,AAPL,10/21/2022,0.020772323400472577,-0.003014635810545394
90,AAPL,11/18/2022,0.005839048860286085,-0.008801800133394912
91,AAPL,12/16/2022,0.009951187390750927,-0.0023971964507999346
92,AAPU,01/20/2023,0.39531266998826625,0.2088360435191261
93,AAPU,04/21/2023,0.2803336749069371,0.16333462203706897
94,AAPU,09/16/2022,0.024076793789863587,-0.003935405611991883
95,AAPU,10/21/2022,-0.2686461019052464,-0.2451702352910932
96,AAT,01/20/2023,-0.11592151525310697,-0.011225362370184677
97,AAT,04/21/2023,-0.03983727241095341,0.0028334384522869386
98,AAT,09/16/2022,-0.14796223562112087,0.16276414839688966
99,AAT,10/21/2022,-0.0026608724099212444,0.026615372096168058
